traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
869,-7.03324461,-5.24612045,5.19784021,8.24218464,3.13467598,-2.27603865,8.27830315,11.1309061,10.9157791,-3.31409502,-3.51967049,13.575386,-3.7734201,8.77815342,3.86485648,-7.03809977,-4.10823679,2.63629508,-0.901761293,-6.0718627
870,-7.02336454,-5.29012537,5.15522909,8.27914715,3.10851836,-2.25507164,8.28313637,11.2905207,10.7741642,-3.52835703,-3.47377396,13.6018229,-3.58989406,8.75790024,3.93966675,-7.24188137,-3.92621183,2.61206341,-0.933084369,-6.04489803
871,-7.01411009,-5.33339691,5.11296892,8.31579304,3.08283591,-2.23372555,8.28785133,11.4496841,10.6235533,-3.74594426,-3.43052959,13.6271572,-3.40103555,8.73422337,4.00917768,-7.44286776,-3.73748994,2.59293675,-0.965807676,-6.01756716
872,-7.0017972,-5.37786484,5.06462002,8.35276794,3.05592895,-2.21773839,8.29086304,11.586194,10.4905586,-3.9280498,-3.39846134,13.6496201,-3.2345171,8.71420479,4.05924702,-7.61015654,-3.5790441,2.57778478,-0.993240058,-5.9900918
873,-6.99313354,-5.42065907,5.02010632,8.38922215,3.03028202,-2.1974237,8.29495144,11.7382498,10.3301277,-4.14048958,-3.36283326,13.6723127,-3.04275155,8.68519211,4.11544418,-7.79838514,-3.38836884,2.56900835,-1.0275712,-5.9602747
874,-6.98418331,-5.46315765,4.97482395,8.4253912,3.00457668,-2.17821503,8.29840374,11.884798,10.1670837,-4.34741306,-3.33185387,13.6929121,-2.85305142,8.65435886,4.164186,-7.97648716,-3.19986153,2.56507277,-1.06179452,-5.93068409
875,-6.975945,-5.50511837,4.92862177,8.46147251,2.97918057,-2.15891123,8.30190086,12.029089,9.99678612,-4.55395174,-3.30478954,13.7128258,-2.65802169,8.62135506,4.20662546,-8.14966202,-3.01003194,2.56693244,-1.09745085,-5.89901829
876,-6.96534443,-5.54720545,4.87926435,8.49731922,2.95355487,-2.14304233,8.3042717,12.1578741,9.84010887,-4.73550463,-3.2851243,13.7305708,-2.48039985,8.59218216,4.23693943,-8.29881954,-2.84222674,2.57046604,-1.12892735,-5.86895227
877,-6.95661163,-5.58823013,4.83121538,8.53278732,2.92861032,-2.12558603,8.30701065,12.2904043,9.66850948,-4.92744589,-3.26725531,13.7473316,-2.2910533,8.55766392,4.26577139,-8.45145702,-2.66190386,2.58055472,-1.16402161,-5.83708811
878,-6.95517921,-5.62704802,4.78984118,8.56783581,2.90505314,-2.10079074,8.31168079,12.4484091,9.44115734,-5.17371464,-3.2477479,13.7637901,-2.04950929,8.50480652,4.30175495,-8.63710308,-2.4264338,2.6072526,-1.21329486,-5.79856968
