traj,s1,s2,s3
330,6.11042976,5.9823637,7.59145069
331,6.12415504,5.97170115,7.66236639
332,6.13727617,5.96022129,7.73289442
333,6.14979172,5.94792557,7.80302763
334,6.16169834,5.93483162,7.87273884
335,6.17299223,5.92094278,7.94200611
336,6.18367052,5.90627146,8.01081276
337,6.19373131,5.89082718,8.07914162
338,6.20317554,5.87462568,8.14697361
339,6.21198654,5.85763454,8.21430588
340,6.22018051,5.83992863,8.28108978
341,6.22774649,5.82148504,8.34733009
342,6.23468637,5.80233097,8.41299725
343,6.24099684,5.78247547,8.47807407
344,6.24676657,5.7619276,8.54271507
345,6.25191927,5.74070168,8.60676765
346,6.25645733,5.71880484,8.67022038
347,6.26037979,5.69625473,8.73305225
348,6.26369143,5.67306423,8.79525948
349,6.26638699,5.64924574,8.85682583
350,6.2684741,5.62481976,8.91773033
351,6.26994848,5.59979391,8.97797585
352,6.27081728,5.574193,9.03753281
353,6.2710743,5.54799891,9.09640503
354,6.27073193,5.52127361,9.15457058
355,6.26978827,5.49402046,9.21201801
356,6.26824713,5.46624279,9.2687397
357,6.26611328,5.43797731,9.32472229
358,6.26342964,5.40917635,9.38008213
359,6.26017332,5.37989187,9.4347229
360,6.25634098,5.35014629,9.48863029
361,6.25193453,5.31995106,9.54178905
362,6.24695683,5.28932428,9.59419632
363,6.24141932,5.25828648,9.64584827
364,6.23532152,5.22685051,9.69673443
365,6.2286706,5.19503927,9.74684525
366,6.22146988,5.16286039,9.7961874
367,6.2137289,5.13034391,9.84474754
368,6.20544577,5.0974679,9.89251614
369,6.19663429,5.06430101,9.93950558
370,6.18730354,5.03085232,9.98569489
371,6.17745352,4.9971137,10.0310936
372,6.16710472,4.96303368,10.0757885
373,6.15625381,4.92869377,10.1197014
374,6.14490604,4.89410973,10.1628284
375,6.13306427,4.85929394,10.2051687
376,6.12074089,4.82426834,10.2467251
377,6.10793495,4.78903723,10.2874947
378,6.09465981,4.75362492,10.3274822
379,6.08093119,4.71806335,10.3666792
380,6.06673717,4.68233442,10.4050961
381,6.05210543,4.64648819,10.4427299
382,6.03703451,4.6105237,10.4795895
383,6.02152538,4.5744195,10.5156546
384,6.00560141,4.53825521,10.550952
385,5.9892621,4.50201035,10.5854883
386,5.97250557,4.4656148,10.6192989
387,5.95533991,4.42914915,10.6523476
388,5.93778563,4.39264202,10.6846437
389,5.91983986,4.3560915,10.7161884
390,5.90152168,4.31952286,10.7469902
391,5.8828311,4.28294134,10.7770472
392,5.86377859,4.24636173,10.8063679
393,5.84437418,4.209795,10.8349619
394,5.82462883,4.17326641,10.8628292
395,5.80454588,4.13676786,10.8899765
396,5.78413773,4.10032845,10.9164143
397,5.76341915,4.06396246,10.9421492
398,5.74238396,4.02763891,10.9671688
399,5.72105503,3.99142694,10.9915056
400,5.69939995,3.9552176,11.015173
401,5.67744207,3.91908956,11.0381565
402,5.65520763,3.88306785,11.0604687
403,5.63269758,3.84715486,11.082118
