implementation,repeat,milliseconds
cubie,60,5.117199965752661
cubie,61,6.751799955964088
cubie,62,5.352300009690225
cubie,63,6.219299975782633
cubie,64,5.095800035633147
cubie,65,6.766699953004718
cubie,66,5.022500059567392
cubie,67,5.170899908989668
cubie,68,6.862700101919472
cubie,69,5.217699916101992
cubie,70,5.1744000520557165
cubie,71,6.2735999235883355
cubie,72,6.838700035586953
cubie,73,5.205500056035817
cubie,74,6.642299937084317
cubie,75,6.487400038167834
cubie,76,6.706999964080751
cubie,77,5.257599987089634
cubie,78,5.341600044630468
cubie,79,6.741899996995926
cubie,80,5.238999961875379
cubie,81,5.614900030195713
cubie,82,5.1568999188020825
cubie,83,6.731500034220517
cubie,84,5.690700025297701
cubie,85,6.641999934799969
cubie,86,6.68200000654906
cubie,87,5.255799973383546
cubie,88,6.53250003233552
cubie,89,5.508000031113625
cubie,90,6.654200027696788
cubie,91,5.291499895974994
cubie,92,5.247500026598573
cubie,93,6.655700039118528
cubie,94,5.488599999807775
cubie,95,6.732899928465486
cubie,96,5.348699982278049
cubie,97,6.856600055471063
