framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,performance,fixed,fixed,both,8,dt,0.0009765625,20,0.444837,0.44836054999999997,0.482093,0.5464900500000001,0.546928
julia,tsit5,performance,fixed,fixed,none,8,dt,0.0009765625,20,0.39988,0.4128912,0.4454815,0.45873680000000006,0.504884
julia,tsit5,performance,adaptive,julia,both,8,tol,1.0e-8,20,0.315605,0.31615695,0.3185175,0.37577710000000003,0.40407
julia,tsit5,performance,adaptive,julia,none,8,tol,1.0e-8,20,0.2804,0.280837,0.296848,0.33182929999999994,0.332975
julia,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,20,0.437989,0.44990485,0.487333,0.49096705,0.492127
julia,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,20,0.402471,0.40259829999999996,0.43522649999999996,0.44808205,0.449318
julia,tsit5,performance,adaptive,julia,both,32,tol,1.0e-8,20,0.332655,0.3347849,0.37864149999999996,0.38590395000000005,0.391299
julia,tsit5,performance,adaptive,julia,none,32,tol,1.0e-8,20,0.287659,0.28768655,0.2886615,0.3084062,0.335067
julia,tsit5,performance,fixed,fixed,both,128,dt,0.0009765625,20,0.440192,0.4410109,0.479958,0.49563725000000003,0.499499
julia,tsit5,performance,fixed,fixed,none,128,dt,0.0009765625,20,0.404141,0.41502895,0.4405555,0.45211905,0.452196
julia,tsit5,performance,adaptive,julia,both,128,tol,1.0e-8,20,0.346284,0.34718649999999995,0.3729785,0.4032506,0.404763
julia,tsit5,performance,adaptive,julia,none,128,tol,1.0e-8,20,0.311792,0.312305,0.3444165,0.36021159999999997,0.361097
julia,tsit5,performance,fixed,fixed,both,512,dt,0.0009765625,20,0.456162,0.45654485,0.492965,0.49581980000000003,0.496348
julia,tsit5,performance,fixed,fixed,none,512,dt,0.0009765625,20,0.398761,0.40151505000000004,0.4481935,0.45113425,0.451557
julia,tsit5,performance,adaptive,julia,both,512,tol,1.0e-8,20,0.380531,0.38168430000000003,0.43062849999999997,0.43511335,0.437381
julia,tsit5,performance,adaptive,julia,none,512,tol,1.0e-8,20,0.339506,0.3404807,0.3844695,0.3897641,0.391685
julia,tsit5,performance,fixed,fixed,both,2048,dt,0.0009765625,20,0.451053,0.45200775,0.461955,0.5091797,0.50963
julia,tsit5,performance,fixed,fixed,none,2048,dt,0.0009765625,20,0.403219,0.40378615,0.44042000000000003,0.4538947,0.456568
julia,tsit5,performance,adaptive,julia,both,2048,tol,1.0e-8,20,0.438516,0.4458253,0.47949949999999997,0.48854000000000003,0.498306
julia,tsit5,performance,adaptive,julia,none,2048,tol,1.0e-8,20,0.380245,0.38404025,0.4289585,0.43784775,0.441852
julia,tsit5,performance,fixed,fixed,both,8192,dt,0.0009765625,20,0.702564,0.709119,0.7499395,0.8014891500000001,0.802271
julia,tsit5,performance,fixed,fixed,none,8192,dt,0.0009765625,20,0.611431,0.6148861499999999,0.6590805,0.6626737,0.663846
julia,tsit5,performance,adaptive,julia,both,8192,tol,1.0e-8,20,0.623797,0.62387205,0.6746920000000001,0.6989444,0.748371
julia,tsit5,performance,adaptive,julia,none,8192,tol,1.0e-8,20,0.477163,0.4800928,0.49733649999999996,0.5594318,0.564596
julia,tsit5,performance,fixed,fixed,both,32768,dt,0.0009765625,20,2.586391,2.591407,2.7227755,2.81833775,2.843622
julia,tsit5,performance,fixed,fixed,none,32768,dt,0.0009765625,20,2.315379,2.3157751500000003,2.3294845,2.3336204499999997,2.334332
julia,tsit5,performance,adaptive,julia,both,32768,tol,1.0e-8,20,1.416301,1.41650715,1.4326794999999999,1.718081450000003,5.742746
julia,tsit5,performance,adaptive,julia,none,32768,tol,1.0e-8,20,1.120695,1.12208105,1.1544895,1.1723885,1.173006
julia,tsit5,numerical,fixed,fixed,both,1024,dt,0.125,1,0.070463,0.070463,0.070463,0.070463,0.070463
julia,tsit5,numerical,fixed,fixed,none,1024,dt,0.125,1,0.031232,0.031232,0.031232,0.031232,0.031232
