traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
186,-4.26779318,-1.55647576,-1.60755002,-0.917763948,-0.935188234,5.79248524,-3.099967,-3.83170867,-5.3704772,1.73831725,3.49288034,-7.27081013,-0.857961416,6.82900858,5.08076143,-5.47742891,1.31902695,8.44595528,6.76108456,-1.62131441,2.90257239,8.17664242,6.63480043,1.18554413,2.48506188,3.37363958,2.39321804,2.07321262,3.06508017,4.97885799,5.37971783,-0.718356133
187,-4.25829458,-1.54881704,-1.60873532,-0.91386646,-0.931765378,5.82246876,-3.14317131,-3.74230242,-5.39367008,1.67014766,3.52923107,-7.27566719,-0.869616926,6.85072756,5.02959824,-5.51792526,1.29658449,8.4839983,6.73899508,-1.66376781,2.90923357,8.21978283,6.62763786,1.14918101,2.48957491,3.38674688,2.4003458,2.08135271,3.08298635,5.00602245,5.3668232,-0.779735029
188,-4.24825525,-1.54151404,-1.60985196,-0.909965992,-0.92828846,5.85231829,-3.18526316,-3.65179563,-5.41568184,1.60275292,3.56552076,-7.28011513,-0.881092012,6.87240028,4.97798538,-5.5582099,1.27324986,8.52153301,6.7167964,-1.70618105,2.91567111,8.26301098,6.62004423,1.11269569,2.49423361,3.3999474,2.40747929,2.08952832,3.10098672,5.03315592,5.35325766,-0.840975702
189,-4.23769331,-1.534549,-1.61089492,-0.906056106,-0.924734533,5.88205862,-3.22626591,-3.56013846,-5.43649912,1.53611541,3.60181355,-7.28412056,-0.892353654,6.89408159,4.92582941,-5.598279,1.24899077,8.55858803,6.6943779,-1.74864471,2.92186546,8.30637646,6.61200809,1.07599711,2.49902511,3.41330147,2.41466808,2.09772658,3.11906075,5.0602541,5.33902931,-0.902097106
190,-4.22658491,-1.52792978,-1.61187232,-0.902143657,-0.921128929,5.91163635,-3.26609254,-3.46752882,-5.45613956,1.47035289,3.63799024,-7.28773308,-0.903482676,6.9157033,4.87320852,-5.63809872,1.22381997,8.5952034,6.67168665,-1.79110789,2.92788267,8.34995651,6.60339022,1.03909945,2.50403333,3.4268136,2.42184734,2.10594416,3.1372366,5.08733559,5.32411718,-0.963075876
191,-4.21500111,-1.52164865,-1.61277807,-0.898226798,-0.917446792,5.94109964,-3.30480075,-3.3738451,-5.47460365,1.40540397,3.67414474,-7.29091597,-0.914419413,6.9373374,4.82005739,-5.67768574,1.19771719,8.63132477,6.64879894,-1.83357525,2.93367219,8.39367771,6.59428883,1.00203371,2.50919986,3.4404645,2.42905092,2.1141777,3.15546942,5.11434031,5.30855465,-1.02384853
192,-4.20289755,-1.51570475,-1.61362076,-0.894308865,-0.913712323,5.97039318,-3.34230065,-3.27930665,-5.49190664,1.34139729,3.7101624,-7.29371023,-0.925204694,6.95890951,4.76647663,-5.71702576,1.1707083,8.66689014,6.62583256,-1.87602198,2.93919325,8.43745422,6.58478689,0.964884341,2.51450348,3.45421314,2.43625116,2.12243652,3.17379999,5.14131737,5.2923069,-1.08446956
193,-4.19027185,-1.51008713,-1.61439323,-0.890383542,-0.90989995,5.99957418,-3.37866974,-3.18372655,-5.50805235,1.27821684,3.74615502,-7.2960763,-0.935824752,6.98050213,4.71230602,-5.75613022,1.14272857,8.70198345,6.60257578,-1.91851091,2.94449997,8.48145199,6.57471895,0.927499294,2.51998544,3.46812248,2.44346595,2.13071799,3.19222713,5.16826916,5.2753706,-1.14493954
194,-4.17718029,-1.50480342,-1.61510777,-0.886463523,-0.906042516,6.02853775,-3.4137609,-3.08752179,-5.52305651,1.2161119,3.78192782,-7.29809141,-0.946312428,7.00199795,4.6578126,-5.79492474,1.11387551,8.73649693,6.57923555,-1.96094441,2.94955158,8.52554131,6.5641818,0.889984667,2.52561569,3.48215938,2.45069575,2.13902164,3.21072507,5.19513988,5.25776196,-1.20516229
195,-4.16356945,-1.49984813,-1.61574864,-0.882538557,-0.902099907,6.05741453,-3.44772506,-2.99027133,-5.53691387,1.15482616,3.81772757,-7.29966307,-0.95661658,7.02356863,4.60268593,-5.83347321,1.08403349,8.77051353,6.55565882,-2.00337791,2.9543798,8.56980801,6.55307817,0.852297068,2.53142953,3.49636531,2.45796156,2.14737272,3.22934055,5.22198296,5.23945045,-1.26519239
196,-4.14950943,-1.49520707,-1.61633015,-0.878614485,-0.898092806,6.08612251,-3.48046231,-2.89226937,-5.54963923,1.09455276,3.85338426,-7.3008523,-0.966750324,7.04509497,4.54715109,-5.87174177,1.05327654,8.80390739,6.53202963,-2.04578447,2.95892406,8.61415863,6.54153728,0.814507961,2.53739858,3.51068664,2.4651866,2.15570545,3.24801254,5.24875784,5.22047758,-1.32500064
197,-4.13494587,-1.49088931,-1.61684418,-0.874690175,-0.894019425,6.11465883,-3.51196122,-2.79355383,-5.56124687,1.03529358,3.88889623,-7.30166674,-0.976758242,7.06659222,4.49113131,-5.9097271,1.02156734,8.83671284,6.50825739,-2.08819652,2.96318913,8.65864277,6.52949715,0.776514888,2.54349232,3.52516723,2.4724803,2.16409898,3.26679778,5.27547836,5.20079136,-1.38455927
198,-4.11993694,-1.48687434,-1.61729991,-0.870768428,-0.889883101,6.14304161,-3.54223323,-2.69412732,-5.57175255,0.97702992,3.9243021,-7.30210066,-0.986614168,7.08808613,4.43467951,-5.94740105,0.988937974,8.86893463,6.48440599,-2.13049555,2.96723127,8.70323849,6.51688862,0.738471925,2.54980087,3.53978801,2.47973251,2.17249012,3.28565836,5.30213308,5.18042803,-1.44388604
199,-4.10449505,-1.4831593,-1.6176964,-0.866848409,-0.885678291,6.17127085,-3.5712707,-2.59399319,-5.58116198,0.919779956,3.95957923,-7.30216026,-0.996344864,7.10956717,4.37767267,-5.98480558,0.955315053,8.90052414,6.46043396,-2.17287207,2.97092748,8.74793339,6.50388527,0.700214207,2.55617642,3.55454588,2.48703957,2.18089724,3.30457568,5.32869625,5.15938616,-1.50296724
