framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,rosenbrock23_sciml,performance,adaptive,julia,both,8388608,tol,1.0e-8,10,423.3511,424.80432999999994,433.0131,441.58043499999997,441.9907
julia,rosenbrock23_sciml,performance,adaptive,julia,none,128,tol,1.0e-8,20,1.5396,1.5415,1.6224,1.6996399999999998,1.7308
julia,rosenbrock23_sciml,performance,adaptive,julia,none,131072,tol,1.0e-8,20,6.7908,6.82367,6.8838,6.991375,7.1011
julia,rosenbrock23_sciml,performance,adaptive,julia,none,2048,tol,1.0e-8,20,1.5603,1.5740750000000001,1.6338499999999998,1.703445,1.8487
julia,rosenbrock23_sciml,performance,adaptive,julia,none,2097152,tol,1.0e-8,20,92.3215,93.82658500000001,94.2148,95.53449,95.8345
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32,tol,1.0e-8,20,1.5417,1.5662099999999999,3.0096499999999997,3.1854449999999996,3.1996
julia,rosenbrock23_sciml,performance,adaptive,julia,none,32768,tol,1.0e-8,20,2.4579,2.47595,2.53565,2.65803,2.8087
julia,rosenbrock23_sciml,performance,adaptive,julia,none,512,tol,1.0e-8,20,1.5474,1.5597500000000002,1.6068,1.694455,1.8114
julia,rosenbrock23_sciml,performance,adaptive,julia,none,524288,tol,1.0e-8,20,23.8934,24.24661,24.3882,24.66137,25.037
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8,tol,1.0e-8,20,3.0136,3.0156899999999998,3.12975,5.306795000000001,5.3314
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8192,tol,1.0e-8,20,1.7643,1.7728500000000003,1.80555,1.8783250000000002,1.9738
julia,rosenbrock23_sciml,performance,adaptive,julia,none,8388608,tol,1.0e-8,10,372.1104,372.35025,374.56845,377.434615,377.4622
julia,rosenbrock23_sciml,performance,fixed,fixed,both,128,dt,0.0009765625,20,0.6673,0.6849699999999999,0.7422,0.828575,0.8338
julia,rosenbrock23_sciml,performance,fixed,fixed,both,131072,dt,0.0009765625,20,2.8285,2.8411350000000004,3.17955,3.9511500000000073,13.5661
julia,rosenbrock23_sciml,performance,fixed,fixed,both,2048,dt,0.0009765625,20,0.7265,0.728495,0.76185,0.8951950000000001,0.9312
julia,rosenbrock23_sciml,performance,fixed,fixed,both,2097152,dt,0.0009765625,20,33.64,33.84691,35.39505,41.74539000000004,103.7175
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32,dt,0.0009765625,20,1.2427,1.2430800000000002,1.29375,1.3511050000000002,1.3664
julia,rosenbrock23_sciml,performance,fixed,fixed,both,32768,dt,0.0009765625,20,1.05,1.05836,1.0938500000000002,1.13588,1.1887
julia,rosenbrock23_sciml,performance,fixed,fixed,both,512,dt,0.0009765625,20,0.7127,0.725525,0.7621,0.91163,0.9939
julia,rosenbrock23_sciml,performance,fixed,fixed,both,524288,dt,0.0009765625,20,9.0135,9.1997,9.8382,18.132775000000052,89.4944
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8,dt,0.0009765625,20,1.4037,1.4169999999999998,1.4602499999999998,1.654835,1.665
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8192,dt,0.0009765625,20,0.8066,0.819615,0.9438,1.0363300000000002,1.0502
julia,rosenbrock23_sciml,performance,fixed,fixed,both,8388608,dt,0.0009765625,10,135.6084,136.019025,140.6606,144.932995,145.1917
julia,rosenbrock23_sciml,performance,fixed,fixed,none,128,dt,0.0009765625,20,0.6305,0.63886,0.6635,0.7489450000000001,0.8467
julia,rosenbrock23_sciml,performance,fixed,fixed,none,131072,dt,0.0009765625,20,1.7949,1.7984149999999999,1.849,1.8927200000000002,1.8988
julia,rosenbrock23_sciml,performance,fixed,fixed,none,2048,dt,0.0009765625,20,0.653,0.6549,0.6985,0.76694,0.7734
julia,rosenbrock23_sciml,performance,fixed,fixed,none,2097152,dt,0.0009765625,20,20.7583,20.87534,21.36845,21.696859999999997,21.8405
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32,dt,0.0009765625,20,1.1843,1.190475,1.2570000000000001,1.31784,1.3642
julia,rosenbrock23_sciml,performance,fixed,fixed,none,32768,dt,0.0009765625,20,0.7719,0.772375,0.79175,0.9028250000000001,0.9375
julia,rosenbrock23_sciml,performance,fixed,fixed,none,512,dt,0.0009765625,20,0.6653,0.6664399999999999,0.69245,0.7757450000000001,0.7956
julia,rosenbrock23_sciml,performance,fixed,fixed,none,524288,dt,0.0009765625,20,5.6392,5.6743500000000004,5.78585,6.112895,6.3598
