framework,algorithm,phase,mode,tier,n,setting_kind,setting,golden_rmse,finite_trajectories,failed_trajectories,finals_path
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.000244140625,9.91307698976457e-6,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p000244140625.csv
julia,rosenbrock23_sciml,numerical,fixed,fixed,1024,dt,0.0001220703125,1.3592075124063745e-5,1024,0,finals/julia/rosenbrock23_sciml/fixed_fixed_dt_0p0001220703125.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,0.010000000000000002,0.05284939807984582,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_0p01.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,0.001,0.01516278096737735,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_0p001.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,0.0001,0.003274547887511454,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_0p0001.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,1.0e-5,0.0006554663565559771,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_1em05.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,1.0e-6,0.00013494700612354477,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_1em06.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,1.0000000000000001e-7,2.8909723465671286e-5,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_1em07.csv
julia,rosenbrock23_sciml,numerical,adaptive,julia,1024,tol,1.0e-8,1.1553781911896924e-5,1024,0,finals/julia/rosenbrock23_sciml/adaptive_julia_tol_1em08.csv
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.0625,0.04084337179120541,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.03125,0.011656533936589672,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.015625,0.003039152316224751,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.0078125,0.0007892011363244902,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.00390625,0.0002020425961461164,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.001953125,5.120499306689539e-5,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.0009765625,1.36336451692395e-5,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.00048828125,7.4722948762837985e-6,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.000244140625,9.61873554094812e-6,131072,0,
julia,rosenbrock23_sciml,work_precision,fixed,fixed,131072,dt,0.0001220703125,1.3403988829839313e-5,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,0.010000000000000002,0.05287075330874141,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,0.001,0.015165897289318215,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,0.0001,0.00327498891047874,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,1.0e-5,0.0006556798749077946,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,1.0e-6,0.00013508951704278616,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,1.0000000000000001e-7,2.925441287855628e-5,131072,0,
julia,rosenbrock23_sciml,work_precision,adaptive,julia,131072,tol,1.0e-8,1.175092072330305e-5,131072,0,
julia,kvaerno3,performance,fixed,fixed,8,dt,0.0009765625,,8,0,
julia,kvaerno3,performance,adaptive,julia,8,tol,1.0e-8,,8,0,
julia,kvaerno3,performance,fixed,fixed,32,dt,0.0009765625,,32,0,
julia,kvaerno3,performance,adaptive,julia,32,tol,1.0e-8,,32,0,
julia,kvaerno3,performance,fixed,fixed,128,dt,0.0009765625,,128,0,
julia,kvaerno3,performance,adaptive,julia,128,tol,1.0e-8,,128,0,
julia,kvaerno3,performance,fixed,fixed,512,dt,0.0009765625,,512,0,
julia,kvaerno3,performance,adaptive,julia,512,tol,1.0e-8,,512,0,
julia,kvaerno3,performance,fixed,fixed,2048,dt,0.0009765625,,2048,0,
julia,kvaerno3,performance,adaptive,julia,2048,tol,1.0e-8,,2048,0,
julia,kvaerno3,performance,fixed,fixed,8192,dt,0.0009765625,,8192,0,
julia,kvaerno3,performance,adaptive,julia,8192,tol,1.0e-8,,8192,0,
julia,kvaerno3,performance,fixed,fixed,32768,dt,0.0009765625,,32768,0,
julia,kvaerno3,performance,adaptive,julia,32768,tol,1.0e-8,,32768,0,
julia,kvaerno3,performance,fixed,fixed,131072,dt,0.0009765625,,131072,0,
julia,kvaerno3,performance,adaptive,julia,131072,tol,1.0e-8,,131072,0,
julia,kvaerno3,performance,fixed,fixed,524288,dt,0.0009765625,,524288,0,
julia,kvaerno3,performance,adaptive,julia,524288,tol,1.0e-8,,524288,0,
julia,kvaerno3,performance,fixed,fixed,2097152,dt,0.0009765625,,2097152,0,
julia,kvaerno3,performance,adaptive,julia,2097152,tol,1.0e-8,,2097152,0,
julia,kvaerno3,performance,fixed,fixed,8388608,dt,0.0009765625,,8388608,0,
julia,kvaerno3,performance,adaptive,julia,8388608,tol,1.0e-8,,8388608,0,
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.5,170.54488131727112,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p5.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.25,4.221774087948832,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p25.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.125,1.3963905234610867,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p125.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.0625,0.31625252682778476,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p0625.csv
julia,kvaerno3,numerical,fixed,fixed,1024,dt,0.03125,0.0485562073011711,1024,0,finals/julia/kvaerno3/fixed_fixed_dt_0p03125.csv
