framework,algorithm,phase,mode,tier,n,setting_kind,setting,sample,time_ms
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,6,0.461217
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,7,0.460469
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,8,0.469341
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,9,0.466033
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,10,0.46808
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,11,1.21746
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,12,1.41891
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,13,0.472257
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,14,0.582554
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,15,0.422435
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,16,1.518966
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,17,0.592241
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,18,0.46993
julia,tsit5,performance,fixed,fixed,512,dt,0.0009765625,19,0.468832
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,0,0.413476
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,1,0.410235
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,2,0.408183
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,3,0.369183
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,4,0.361671
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,5,0.388881
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,6,0.405577
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,7,0.407559
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,8,0.409949
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,9,0.409129
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,10,0.409691
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,11,0.409814
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,12,0.369737
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,13,0.362754
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,14,0.358538
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,15,0.396717
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,16,0.405456
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,17,0.409562
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,18,0.405827
julia,tsit5,performance,adaptive,julia,512,tol,1.0e-8,19,0.428656
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,0,0.494189
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,1,0.447427
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,2,0.477289
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,3,0.489983
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,4,0.486685
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,5,0.484159
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,6,0.443755
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,7,0.439132
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,8,0.476162
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,9,0.486453
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,10,0.447118
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,11,0.479874
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,12,0.486395
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,13,0.486864
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,14,0.482941
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,15,0.449503
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,16,0.437584
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,17,0.476933
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,18,0.48538
julia,tsit5,performance,fixed,fixed,2048,dt,0.0009765625,19,0.448744
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,0,0.425977
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,1,0.418139
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,2,0.41411
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,3,0.455049
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,4,0.46543
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,5,0.469955
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,6,0.465947
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,7,0.468202
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,8,0.461724
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,9,0.424425
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,10,0.413597
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,11,0.462045
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,12,0.463363
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,13,0.4637
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,14,0.467388
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,15,0.460843
julia,tsit5,performance,adaptive,julia,2048,tol,1.0e-8,16,0.461674
