framework,algorithm,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms,golden_rmse,finite_trajectories,failed_trajectories
julia,vern7,adaptive,julia,both,32768,tol,0.001,20,0.579829,0.5812150500000001,0.619955,0.6944156000000006,1.47603,0.0002328806417029093,32768,0
julia,vern7,adaptive,julia,both,32768,tol,0.010000000000000002,20,0.531462,0.5384616,0.57419,0.6079998,0.616793,0.0036702074317816963,32768,0
julia,vern7,adaptive,julia,both,32768,tol,1.0000000000000001e-7,20,1.123491,1.1560645999999999,1.17249,1.19112565,1.220968,3.2558883721668792e-6,32768,0
julia,vern7,adaptive,julia,both,32768,tol,1.0e-5,20,0.668939,0.6721842,0.715024,0.7788192500000005,1.521648,9.313564485429878e-6,32768,0
julia,vern7,adaptive,julia,both,32768,tol,1.0e-6,20,0.776655,0.77706635,0.817312,0.8419416000000001,0.846076,6.162839766718258e-6,32768,0
julia,vern7,adaptive,julia,both,32768,tol,1.0e-8,20,2.628097,2.6283459000000002,2.6395150000000003,2.661206,2.665272,3.902806488789943e-6,32768,0
julia,vern7,adaptive,julia,none,32768,tol,0.0001,20,0.354324,0.35461945,0.38978749999999995,0.4612112000000008,1.543303,2.915283218933506e-5,32768,0
julia,vern7,adaptive,julia,none,32768,tol,0.001,20,0.315548,0.31592705,0.35111950000000003,0.3600448,0.361523,0.0002328806417029093,32768,0
julia,vern7,adaptive,julia,none,32768,tol,0.010000000000000002,20,0.265126,0.26803869999999996,0.3054435,0.36132145000000065,1.207818,0.0036702074317816963,32768,0
julia,vern7,adaptive,julia,none,32768,tol,1.0000000000000001e-7,20,0.861444,0.86798855,0.8963785,0.9259578000000003,1.24884,3.2558883721668792e-6,32768,0
julia,vern7,adaptive,julia,none,32768,tol,1.0e-5,20,0.405601,0.40697469999999997,0.44339,0.45360115,0.456473,9.313564485429878e-6,32768,0
julia,vern7,adaptive,julia,none,32768,tol,1.0e-6,20,0.512696,0.5168741,0.5472729999999999,0.6004909000000006,1.492824,6.162839766718258e-6,32768,0
julia,vern7,adaptive,julia,none,32768,tol,1.0e-8,20,2.350369,2.3517759500000004,2.3678425,2.39089765,2.392639,3.902806488789943e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.0001220703125,20,51.531941,51.55265575,51.7568045,52.20017475,52.209993,1.3365782068442165e-5,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.000244140625,20,26.306334,26.351063800000002,26.441399,26.646016499999998,26.726947,9.619354210320799e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.00048828125,20,13.591058,13.59597235,13.633872,13.71951505,13.733633,6.8067750250165274e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.0009765625,20,7.123564,7.1348785,7.155554,7.2086195,7.211954,4.804565557149296e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.001953125,20,3.868667,3.87404115,3.894653,3.9332497500000003,3.942175,3.4426736349041005e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.00390625,20,2.242666,2.2433823,2.2631705,2.30322395,2.306548,2.5435209104751394e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.0078125,20,1.399574,1.40475435,1.445891,1.4566091,1.48399,2.4075223328055397e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.015625,20,0.974159,0.9774935,1.0179475,1.02799985,1.04675,3.5052663940001143e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.03125,20,0.752574,0.7823242,0.793064,0.8006319500000001,0.801486,6.570441475673945e-6,32768,0
julia,vern7,fixed,fixed,both,32768,dt,0.0625,20,0.634598,0.6355043,0.676811,0.7025865000000001,0.731647,7.107910871510333e-5,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.0001220703125,20,51.18476,51.223748,51.412974500000004,51.674248150000004,52.119535,1.3365782068442165e-5,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.000244140625,20,25.96973,26.065710399999997,26.1553915,26.42972255,26.431994,9.619354210320799e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.00048828125,20,13.269948,13.282678,13.340904,13.40238315,13.443597,6.8067750250165274e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.0009765625,20,6.850157,6.852488299999999,6.8966735,6.921226900000001,6.921415,4.804565557149296e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.001953125,20,3.596993,3.5981975999999998,3.6213040000000003,3.63905925,3.649894,3.4426736349041005e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.00390625,20,1.966617,1.967966,2.001773,2.03157175,2.035139,2.5435209104751394e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.0078125,20,1.135603,1.13888145,1.1722805,1.1970146,1.208749,2.4075223328055397e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.015625,20,0.701047,0.70161415,0.7418210000000001,1.2601892500000065,9.83326,3.5052663940001143e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.03125,20,0.487074,0.4901976,0.521397,0.5377906,0.580058,6.570441475673945e-6,32768,0
julia,vern7,fixed,fixed,none,32768,dt,0.0625,20,0.366607,0.36970970000000003,0.4079985,0.4186089,0.421077,7.107910871510333e-5,32768,0
