traj,s1,s2,s3
79,0.216922551,0.228375033,0.0134079577
80,0.222416297,0.234523013,0.0139871258
81,0.228000581,0.240791306,0.0145877982
82,0.233685941,0.247180104,0.0152104311
83,0.239469573,0.253691852,0.0158558283
84,0.24535723,0.260327548,0.0165245887
85,0.251342922,0.267090201,0.0172176529
86,0.257432848,0.273980826,0.0179356467
87,0.263629824,0.281000972,0.0186793189
88,0.26993075,0.288153112,0.0194495786
89,0.276337773,0.295439035,0.0202472173
90,0.282856524,0.302859843,0.0210729912
91,0.289484501,0.310418159,0.0219278801
92,0.296225548,0.318115324,0.0228126757
93,0.30307886,0.325953543,0.0237283763
94,0.310043931,0.333935529,0.0246760156
95,0.317128241,0.342061639,0.0256562941
96,0.324326277,0.350335151,0.0266704671
97,0.331645995,0.358757138,0.0277193561
98,0.339085549,0.367329776,0.0288040675
99,0.346643835,0.376055956,0.0299258456
100,0.354326248,0.38493678,0.0310855564
101,0.362134933,0.393974096,0.0322843939
102,0.370067865,0.403170496,0.0335235223
103,0.378128678,0.412527859,0.0348041393
104,0.386318892,0.42204836,0.0361274853
105,0.394641489,0.4317334,0.0374946743
106,0.403092325,0.441586196,0.0389072075
107,0.411680609,0.451607913,0.040366184
108,0.420399666,0.461801678,0.0418731757
109,0.429259449,0.472168058,0.043429222
110,0.438254416,0.482710987,0.0450361073
111,0.447390705,0.49343127,0.0466950461
112,0.456669033,0.504331648,0.0484075956
113,0.466089338,0.515414119,0.0501752347
114,0.475653231,0.526681483,0.0519996397
115,0.485365152,0.538134873,0.0538822524
116,0.49522388,0.549777567,0.0558248311
117,0.505233169,0.561610878,0.0578288995
118,0.515394807,0.57363677,0.0598960556
119,0.525708318,0.585858643,0.0620284826
120,0.536173344,0.598278403,0.0642276928
121,0.546793044,0.610898912,0.0664957985
122,0.557572842,0.623720765,0.0688342303
123,0.568512619,0.636747062,0.0712452233
124,0.579614937,0.649979472,0.0737304017
125,0.590876877,0.663421392,0.076292254
126,0.602304518,0.677074432,0.0789325312
127,0.613895953,0.690941751,0.0816535801
128,0.625657022,0.705024421,0.0844573602
129,0.637587845,0.719324827,0.0873460174
130,0.649690151,0.733845413,0.0903218761
131,0.66196382,0.748588383,0.0933871344
132,0.674412549,0.763556302,0.096544385
133,0.687036693,0.778752327,0.0997961611
134,0.699838042,0.794177115,0.103144497
135,0.712820828,0.809833109,0.10659197
136,0.725986123,0.825722575,0.110141166
137,0.739330292,0.841849387,0.113795251
138,0.752864897,0.858212173,0.117555521
139,0.766576529,0.874819279,0.12142691
140,0.780485213,0.89166683,0.125409961
141,0.794577718,0.908760309,0.129509196
142,0.808863819,0.926100314,0.133726418
143,0.823344171,0.943689406,0.138064891
144,0.838017106,0.961530805,0.142528087
145,0.852885723,0.979626298,0.147118673
146,0.867956281,0.997975588,0.151839614
147,0.883223951,1.01658416,0.156694531
148,0.898693979,1.0354526,0.161686599
149,0.914366364,1.05458307,0.166819289
150,0.930241823,1.07397759,0.172095567
151,0.946326852,1.09363794,0.177519351
152,0.962619722,1.11356544,0.183093533
153,0.979120493,1.13376427,0.188822627
154,0.99583286,1.15423501,0.19471018
155,1.01275826,1.17497933,0.200759456
156,1.02989602,1.19599831,0.20697397
157,1.04725266,1.21729553,0.213358313
158,1.06482542,1.23887157,0.219916269
159,1.08261347,1.26072967,0.226652086
160,1.10063148,1.2828685,0.233568981
161,1.11885881,1.30529284,0.240671605
162,1.13732004,1.32800317,0.247964799
163,1.15600359,1.35099936,0.255451769
164,1.17490649,1.37428617,0.263138056
165,1.19404805,1.39786172,0.271026969
166,1.21340847,1.42173088,0.279124469
167,1.23300195,1.44589138,0.287433296
168,1.25282919,1.47034597,0.295959055
169,1.2728864,1.49509609,0.304706961
170,1.29318249,1.52014315,0.313681662
171,1.31370556,1.54548776,0.322887182
172,1.33447444,1.57112968,0.332328647
173,1.35547602,1.59707212,0.342012703
174,1.37671363,1.62331426,0.351942062
175,1.39820063,1.64985573,0.3621234
176,1.41991663,1.67670155,0.372562319
177,1.44188261,1.70384777,0.383262813
178,1.46408689,1.73129785,0.394231647
179,1.48653579,1.75904918,0.405472964
180,1.50923324,1.7871033,0.416992307
181,1.53217137,1.81546128,0.428796589
182,1.55535889,1.84412324,0.440891027
183,1.57878995,1.87308824,0.453281105
184,1.60247087,1.90235591,0.465971857
185,1.62639999,1.93192518,0.478969753
186,1.65057623,1.96179855,0.492281765
187,1.67499995,1.99197412,0.505913317
188,1.69967818,2.02244997,0.519869387
189,1.7246058,2.05322719,0.534156978
190,1.74977684,2.08430362,0.54878211
191,1.77520132,2.11567879,0.563751876
192,1.80087996,2.14735079,0.579071343
193,1.826805,2.17931867,0.594746709
194,1.85298455,2.21158004,0.610784173
195,1.87941337,2.24413753,0.627193093
196,1.90609527,2.27698231,0.643975258
197,1.9330312,2.31011748,0.661141276
198,1.96020794,2.34354067,0.678695321
