traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
359,-1.67533052,-1.80201924,-1.15088677,-0.393877745,0.645422339,8.6758585,2.4699564,6.58685255,-1.2773813,1.54840553,6.46145248,-9.10414124,-3.30263996,9.61984634,-3.13606882,-2.51530743,-7.61629391,4.35658169,6.38284683,-7.60170841,-0.80348742,14.1273775,0.729918301,-3.45525146,2.97060323,7.72458792,3.90241075,3.63648486,6.88942766,5.37398911,-3.76882219,-3.57038212
360,-1.67762423,-1.80113256,-1.14629483,-0.3912839,0.659715652,8.68609715,2.52333522,6.58767843,-1.24044466,1.57613182,6.43951416,-9.15328598,-3.34243178,9.61201286,-3.11775017,-2.45838761,-7.62899637,4.30965281,6.39471197,-7.63007259,-0.847443998,14.1392918,0.70282495,-3.45690131,2.95837617,7.75587797,3.91750169,3.64450264,6.90738869,5.33314991,-3.82039213,-3.54066801
361,-1.68002999,-1.8002001,-1.14170432,-0.388687104,0.674060822,8.69637966,2.57652068,6.5882225,-1.20335186,1.60385668,6.41667128,-9.20295048,-3.38295388,9.60329914,-3.0981741,-2.40225768,-7.64119673,4.2631526,6.4063735,-7.65836573,-0.891592264,14.1509781,0.67613405,-3.45799708,2.94612288,7.78716755,3.93250108,3.65237713,6.92519379,5.29184294,-3.87150764,-3.51073933
362,-1.68252158,-1.7992084,-1.13711596,-0.386077732,0.68839699,8.70670414,2.62938762,6.58845091,-1.16637659,1.63141143,6.39305687,-9.25294304,-3.42404675,9.59370327,-3.07751465,-2.3470428,-7.65290928,4.21681118,6.41791773,-7.68673086,-0.935956895,14.1622858,0.650037408,-3.45897198,2.93366075,7.81845856,3.94774199,3.66019917,6.94279146,5.25004148,-3.92206478,-3.48060799
363,-1.68513298,-1.79818678,-1.13254237,-0.38347438,0.702805817,8.71708393,2.68208027,6.58844137,-1.12908757,1.65905476,6.36840439,-9.30350208,-3.46594214,9.58317375,-3.05564928,-2.29263115,-7.66406679,4.17063713,6.42943144,-7.71513081,-0.980431497,14.1732616,0.624557972,-3.45983434,2.92101455,7.84959507,3.9632616,3.66806102,6.96015739,5.20767164,-3.97201824,-3.45037079
364,-1.6878233,-1.79709852,-1.12795794,-0.380852222,0.717262089,8.72748375,2.73446202,6.58820295,-1.09182978,1.68649364,6.34308672,-9.3541975,-3.50831628,9.57195663,-3.03279662,-2.23896718,-7.67472458,4.12481594,6.44081736,-7.74356222,-1.02505672,14.1839237,0.599686861,-3.46048689,2.90825725,7.88061905,3.9789114,3.67592239,6.97737741,5.1647625,-4.02145529,-3.41991591
365,-1.69060767,-1.79596901,-1.12337792,-0.378225684,0.731810689,8.7379303,2.78666592,6.58775425,-1.05427313,1.71397531,6.31676102,-9.40541077,-3.55149698,9.55978298,-3.00872159,-2.18616509,-7.68489122,4.07930946,6.45215464,-7.77186012,-1.06968486,14.1943941,0.575137734,-3.46053267,2.89544582,7.91173172,3.99464369,3.68359947,6.99431038,5.12147713,-4.07026243,-3.38939643
366,-1.69345605,-1.79479074,-1.11879921,-0.375593841,0.746364355,8.74843121,2.83860826,6.58703089,-1.01669598,1.74135959,6.2895093,-9.45702457,-3.59537196,9.54656792,-2.9835422,-2.13435102,-7.69462252,4.03385544,6.46336174,-7.80031013,-1.11461675,14.2044249,0.55133307,-3.46063113,2.88243842,7.94276524,4.01055288,3.69123769,7.01106119,5.07766533,-4.11860371,-3.35868073
367,-1.69638169,-1.79355419,-1.11420977,-0.372947901,0.761036694,8.75896168,2.89030719,6.58617163,-0.978857994,1.76869249,6.2613883,-9.50894356,-3.63992453,9.53254128,-2.95724893,-2.08332157,-7.70386553,3.98892426,6.47437429,-7.82872486,-1.1596837,14.2141848,0.527991176,-3.46034479,2.86931157,7.97378063,4.02667284,3.69881463,7.02757168,5.03339291,-4.16631699,-3.32786536
368,-1.69938064,-1.79227889,-1.10964203,-0.370301008,0.77569294,8.76954937,2.9417448,6.58504295,-0.941025555,1.79590225,6.23232555,-9.56121635,-3.6851697,9.51741791,-2.9299159,-2.03337073,-7.71271515,3.94387507,6.48540545,-7.85722542,-1.20489621,14.2235603,0.505300164,-3.46004462,2.85598969,8.00473595,4.04304361,3.70634413,7.04382038,4.9886694,-4.21338558,-3.2969768
