traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32
169,-4.34193087,-1.74196374,-1.57599127,-0.982379913,-0.985233665,5.26335621,-2.20808029,-5.15481091,-4.79068565,2.98876333,2.87460637,-7.12555408,-0.633947194,6.45037842,5.87225437,-4.76044273,1.56818032,7.74823523,7.08726311,-0.910165071,2.76484036,7.47199726,6.68474007,1.77087379,2.43500113,3.17093921,2.27462268,1.93815064,2.77357793,4.51613092,5.50081444,0.331325799
170,-4.34245443,-1.72814381,-1.5785414,-0.978756368,-0.98284024,5.29505825,-2.26735067,-5.08945799,-4.83434391,2.91261339,2.90984964,-7.13738585,-0.648899257,6.47303915,5.82988262,-4.80386305,1.56008756,7.79141855,7.0708003,-0.951344788,2.77395558,7.51195335,6.68535519,1.7382654,2.4365797,3.18188214,2.28143406,1.94590414,2.79004574,4.54323912,5.498631,0.269838601
171,-4.34240055,-1.71468854,-1.58104515,-0.975134611,-0.98047632,5.32653522,-2.32558131,-5.02279854,-4.87672472,2.83685827,2.94511008,-7.14884567,-0.663706601,6.49552774,5.78713322,-4.84708118,1.55126095,7.83442736,7.053936,-0.992541432,2.78304839,7.55216265,6.68541908,1.70539486,2.43839383,3.19296837,2.2882328,1.95365393,2.8065846,4.57037878,5.49586248,0.208184391
172,-4.34165907,-1.70158672,-1.58339417,-0.9714396,-0.977892458,5.35825872,-2.38360381,-4.95381355,-4.91816282,2.76074076,2.98094988,-7.15989399,-0.67815578,6.51812315,5.74366808,-4.89025354,1.54159319,7.87719393,7.03674412,-1.03387463,2.79199338,7.59252834,6.68510866,1.67226505,2.44035292,3.20421028,2.29511189,1.96143258,2.82318735,4.5975132,5.49249172,0.146550879
173,-4.34033537,-1.68884575,-1.58569729,-0.967753053,-0.975358963,5.38970661,-2.44044471,-4.88367462,-4.95825815,2.6851995,3.01670694,-7.17057133,-0.692490697,6.54054403,5.69975185,-4.93323326,1.53115821,7.91981363,7.01910353,-1.07535434,2.80084467,7.63309813,6.68437386,1.63896966,2.4424963,3.21551371,2.30194616,1.96923375,2.83989573,4.6246953,5.48852301,0.0847702175
174,-4.33832741,-1.67645741,-1.58786643,-0.964001358,-0.972636998,5.42128897,-2.49684858,-4.81145287,-4.99731588,2.60958624,3.05285072,-7.18083382,-0.706488848,6.56297588,5.65532684,-4.97607851,1.51990342,7.96209097,7.00118637,-1.11690211,2.80955482,7.67385912,6.68322325,1.60535181,2.44478202,3.2269783,2.3088448,1.97705781,2.85668826,4.65191507,5.48393917,0.0229396634
175,-4.33575392,-1.66445231,-1.58999825,-0.960268676,-0.969970107,5.452631,-2.55209851,-4.73806715,-5.03507233,2.53450513,3.08895636,-7.19069862,-0.720422387,6.58531046,5.61025906,-5.01880646,1.50782573,8.00426674,6.98279238,-1.15861666,2.81815791,7.71480513,6.68165159,1.57158732,2.44722724,3.2384963,2.31573367,1.98492885,2.87359118,4.67916632,5.47873735,-0.038997829
176,-4.3325882,-1.65283096,-1.5920465,-0.956523895,-0.967258573,5.48382521,-2.60636663,-4.66330528,-5.07160139,2.45991778,3.12504673,-7.20018673,-0.734191895,6.60750437,5.5647831,-5.06133842,1.49494815,8.04617405,6.96401072,-1.20040274,2.82666922,7.75601578,6.67955303,1.53750312,2.44988775,3.25021338,2.32266736,1.99280131,2.89054132,4.70638084,5.47293186,-0.100852191
177,-4.32875586,-1.64155388,-1.59397519,-0.952723503,-0.964386106,5.51510477,-2.66004848,-4.58659649,-5.10700941,2.38542223,3.16147876,-7.20922518,-0.747608066,6.62974501,5.51875877,-5.10374546,1.48122096,8.08767033,6.94506407,-1.24222565,2.83497047,7.79729652,6.67713928,1.50324786,2.45263433,3.26199698,2.32966542,2.00075531,2.90762377,4.73364592,5.46647358,-0.162780523
178,-4.32442617,-1.63068104,-1.59588408,-0.948965669,-0.961616874,5.54602194,-2.71232295,-4.50912762,-5.14103651,2.31180692,3.1976831,-7.21789074,-0.760956585,6.65179491,5.4722929,-5.1459446,1.46668744,8.12896347,6.92571402,-1.28414345,2.84315872,7.83877802,6.6742568,1.46883953,2.45559192,3.27388,2.33659482,2.008672,2.92474246,4.76087856,5.45942688,-0.224686027
