algorithm,phase,mode,cubie_tier,transfers,n,setting_kind,setting,cubie_min_ms,julia_min_ms,julia_over_cubie_speedup
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.0001220703125,36.30680707283318,16.114541,0.4438435185907002
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.000244140625,18.296389956958592,8.100782,0.442753024998741
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.00048828125,9.322532103396952,4.098568,0.4396410711749183
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.0009765625,4.930208902806044,2.096656,0.4252671725140656
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.001953125,3.032990964129567,1.054695,0.34774089750797693
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.00390625,1.8590990221127868,0.543598,0.292398626180882
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.0078125,1.090208999812603,0.285649,0.2620130635952377
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.015625,0.706688966602087,0.152504,0.21580073725117307
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.03125,0.5289959954097867,0.090461,0.17100507524622072
rosenbrock23_sciml,work_precision,fixed,fixed,none,32768,dt,0.0625,0.42868510354310274,0.058938,0.13748553311714037
tsit5,numerical,adaptive,default,both,1024,tol,0.0001,0.7239680271595716,0.10393,0.14355606339103222
tsit5,numerical,adaptive,default,both,1024,tol,0.001,0.7250428898259997,0.093882,0.12948475368475149
tsit5,numerical,adaptive,default,both,1024,tol,0.01,0.7243510335683823,0.089929,0.12415113091919162
tsit5,numerical,adaptive,default,both,1024,tol,1e-05,0.7406529039144516,0.139724,0.18864977003605818
tsit5,numerical,adaptive,default,both,1024,tol,1e-06,0.7168740266934037,0.137043,0.1911674783812627
tsit5,numerical,adaptive,default,none,1024,tol,0.0001,0.3358130343258381,0.065517,0.19509963373377912
tsit5,numerical,adaptive,default,none,1024,tol,0.001,0.3373119980096817,0.055217,0.16369711224566383
tsit5,numerical,adaptive,default,none,1024,tol,0.01,0.3553420538082719,0.049524,0.1393699379773415
tsit5,numerical,adaptive,default,none,1024,tol,1e-05,0.362180988304317,0.07853,0.21682529601475486
tsit5,numerical,adaptive,default,none,1024,tol,1e-06,0.34556002356112003,0.099459,0.2878197511825567
tsit5,numerical,adaptive,pi,both,1024,tol,0.0001,0.7440389599651098,0.10393,0.13968354561012986
tsit5,numerical,adaptive,pi,both,1024,tol,0.001,0.7403120398521423,0.093882,0.12681409317448145
tsit5,numerical,adaptive,pi,both,1024,tol,0.01,0.7414900464937091,0.089929,0.1212814661845403
tsit5,numerical,adaptive,pi,both,1024,tol,1e-05,0.7435070583596826,0.139724,0.1879255864877162
tsit5,numerical,adaptive,pi,both,1024,tol,1e-06,0.7470869459211826,0.137043,0.18343648051703204
tsit5,numerical,adaptive,pi,none,1024,tol,0.0001,0.35165599547326565,0.065517,0.1863099189076129
tsit5,numerical,adaptive,pi,none,1024,tol,0.001,0.3450679359957576,0.055217,0.16001776531528814
tsit5,numerical,adaptive,pi,none,1024,tol,0.01,0.3459859872236848,0.049524,0.14313874500351378
tsit5,numerical,adaptive,pi,none,1024,tol,1e-05,0.3457600250840187,0.07853,0.22712284330994434
tsit5,numerical,adaptive,pi,none,1024,tol,1e-06,0.34162995871156454,0.099459,0.2911307906809556
tsit5,numerical,fixed,fixed,both,1024,dt,0.0001220703125,3.230605972930789,3.074287,0.951613110902232
tsit5,numerical,fixed,fixed,both,1024,dt,0.000244140625,1.9486530218273401,1.600515,0.8213442732350188
tsit5,numerical,fixed,fixed,both,1024,dt,0.00048828125,1.3061449863016605,0.858677,0.6574132343694381
tsit5,numerical,fixed,fixed,both,1024,dt,0.0009765625,0.9809329640120268,0.495458,0.5050885413959088
tsit5,numerical,fixed,fixed,both,1024,dt,0.001953125,0.8212559623643756,0.319652,0.3892233538003545
tsit5,numerical,fixed,fixed,both,1024,dt,0.00390625,0.7407930679619312,0.161051,0.21740349223715508
tsit5,numerical,fixed,fixed,both,1024,dt,0.0078125,0.7126190466806293,0.11503,0.161418643714069
tsit5,numerical,fixed,fixed,both,1024,dt,0.015625,0.7472790312021971,0.091712,0.12272791844895856
tsit5,numerical,fixed,fixed,both,1024,dt,0.03125,0.7152919424697757,0.081786,0.11433932796391849
tsit5,numerical,fixed,fixed,both,1024,dt,0.0625,0.7195509970188141,0.081235,0.11289679305089748
tsit5,numerical,fixed,fixed,both,1024,dt,0.125,0.7172570331022143,0.070463,0.09823953861454644
tsit5,numerical,fixed,fixed,none,1024,dt,0.0001220703125,2.858820022083819,2.989198,1.0456055214770559
tsit5,numerical,fixed,fixed,none,1024,dt,0.000244140625,1.576924929395318,1.53806,0.975353976165358
tsit5,numerical,fixed,fixed,none,1024,dt,0.00048828125,0.928491004742682,0.805803,0.8678630120098114
tsit5,numerical,fixed,fixed,none,1024,dt,0.0009765625,0.6140670739114285,0.407882,0.6642303704738808
tsit5,numerical,fixed,fixed,none,1024,dt,0.001953125,0.4472999135032296,0.263461,0.589003020225484
tsit5,numerical,fixed,fixed,none,1024,dt,0.00390625,0.3658229252323508,0.121925,0.3332896644532594
tsit5,numerical,fixed,fixed,none,1024,dt,0.0078125,0.3465668996796012,0.074709,0.21556876917290133
tsit5,numerical,fixed,fixed,none,1024,dt,0.015625,0.33962307497859,0.052619,0.15493352447656014
tsit5,numerical,fixed,fixed,none,1024,dt,0.03125,0.3485979977995157,0.040949,0.11746768558191899
tsit5,numerical,fixed,fixed,none,1024,dt,0.0625,0.3438850399106741,0.035565,0.10342118985239425
tsit5,numerical,fixed,fixed,none,1024,dt,0.125,0.3538250457495451,0.031232,0.08826961340127278
tsit5,performance,adaptive,default,both,128,tol,1e-08,0.4674310330301523,0.346284,0.740823726989608
tsit5,performance,adaptive,default,both,131072,tol,1e-08,2.1195600274950266,4.325881,2.040933469156089
tsit5,performance,adaptive,default,both,2048,tol,1e-08,0.4825349897146225,0.438516,0.9087755486070432
tsit5,performance,adaptive,default,both,2097152,tol,1e-08,27.782718010712415,62.016304,2.232189952620469
tsit5,performance,adaptive,default,both,32,tol,1e-08,0.4910880234092474,0.332655,0.6773836545445183
tsit5,performance,adaptive,default,both,32768,tol,1e-08,0.7873959839344025,1.416301,1.798715041602233
tsit5,performance,adaptive,default,both,512,tol,1e-08,0.4790739621967077,0.380531,0.7943053265828587
tsit5,performance,adaptive,default,both,524288,tol,1e-08,7.229912967886776,15.91019,2.200606019832957
tsit5,performance,adaptive,default,both,8,tol,1e-08,0.4913340089842677,0.315605,0.64234307869803
tsit5,performance,adaptive,default,both,8192,tol,1e-08,0.5236640572547913,0.623797,1.191215993074141
tsit5,performance,adaptive,default,both,8388608,tol,1e-08,110.42278801323846,289.30533,2.619978495429001
tsit5,performance,adaptive,default,none,128,tol,1e-08,0.3761359257623553,0.311792,0.8289343788899118
tsit5,performance,adaptive,default,none,131072,tol,1e-08,1.5325400163419545,3.436657,2.2424582479764634
tsit5,performance,adaptive,default,none,2048,tol,1e-08,0.3843520535156131,0.380245,0.98931434480954
tsit5,performance,adaptive,default,none,2097152,tol,1e-08,18.47014296799898,49.390677,2.674082008221233
tsit5,performance,adaptive,default,none,32,tol,1e-08,0.40505605284124613,0.287659,0.7101708466821562
tsit5,performance,adaptive,default,none,32768,tol,1e-08,0.5904959980398417,1.120695,1.8978875449116677
