framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,sample,time_ms
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,13,0.779982001404278
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,13,0.47144699783530086
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,14,0.7861189951654524
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,14,0.4757900023832917
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,15,0.7719549976172857
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,15,0.46972499694675207
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,16,0.7765819973428734
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,16,0.4705820028902963
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,17,0.8629340009065345
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,17,0.47030999849084765
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,18,0.7815649951226078
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,18,0.4695470051956363
cubie,tsit5,performance,adaptive,default,both,8,tol,1e-08,19,0.7737460036878474
cubie,tsit5,performance,adaptive,default,none,8,tol,1e-08,19,0.4702539954450913
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,0,0.7970130027388223
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,0,0.438296003267169
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,1,0.7514249955420382
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,1,0.4364080014056526
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,2,0.7374209963018075
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,2,0.44047900155419484
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,3,0.7401800030493177
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,3,0.4338430007919669
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,4,0.7386259967461228
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,4,0.4333420001785271
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,5,0.7425809963024221
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,5,0.43366099998820573
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,6,0.7435290026478469
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,6,0.4326010021031834
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,7,0.7426090014632791
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,7,0.44168699969304726
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,8,0.7443140057148412
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,8,0.43402399751357734
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,9,0.7364670018432662
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,9,0.4343410037108697
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,10,0.744290002330672
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,10,0.4380160025903024
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,11,0.7434879953507334
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,11,0.4310989970690571
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,12,0.7377130023087375
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,12,0.4319599975133315
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,13,0.7392050029011443
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,13,0.43728200398618355
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,14,0.7400559989036992
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,14,0.4353100011940114
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,15,0.7610469983774237
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,15,0.4340860032243654
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,16,0.7375510031124577
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,16,0.4381260005175136
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,17,0.7404909993056208
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,17,0.4337450009188615
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,18,0.7408270030282438
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,18,0.434066001616884
cubie,tsit5,performance,adaptive,pi,both,8,tol,1e-08,19,0.7382769981632009
cubie,tsit5,performance,adaptive,pi,none,8,tol,1e-08,19,0.4387400040286593
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,0,0.9306790016125888
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,0,0.6587850002688356
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,1,0.9219650019076653
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,1,0.6105549982748926
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,2,0.9264949985663407
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,2,0.6179600022733212
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,3,0.9167039970634505
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,3,0.6101769977249205
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,4,0.9177899992209859
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,4,0.611951996688731
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,5,0.9251029987353832
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,5,0.6147710009827279
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,6,0.9225679968949407
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,6,0.6122600025264546
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,7,0.9214249948854558
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,7,0.6102530023781583
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,8,0.9238200000254437
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,8,0.6125030049588531
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,9,0.9193829973810352
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,9,0.6153080030344427
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,10,0.9098349983105436
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,10,0.6121190017438494
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,11,0.9130000034929253
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,11,0.6094350028433837
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,12,0.9264039981644601
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,12,0.6157139941933565
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,13,0.9288590008509345
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,13,0.6116160002420656
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,14,0.9148559984168969
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,14,0.6104670028435066
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,15,0.9234199969796464
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,15,0.61160799668869
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,16,0.921143997402396
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,16,0.6114759962656535
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,17,0.9153249993687496
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,17,0.6114259958849289
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,18,0.9207240000250749
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,18,0.6120530015323311
cubie,tsit5,performance,fixed,fixed,both,32,dt,0.0009765625,19,0.9248120040865615
cubie,tsit5,performance,fixed,fixed,none,32,dt,0.0009765625,19,0.6179379997774959
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,0,0.8820000002742745
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,0,0.5487129965331405
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,1,0.8581029978813604
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,1,0.47969899605959654
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,2,0.7884380029281601
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,2,0.47828099923208356
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,3,0.7911790016805753
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,3,0.4787759971804917
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,4,0.7864110011723824
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,4,0.47987300058593974
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,5,0.787006996688433
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,5,0.48025800060713664
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,6,0.7885070008342154
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,6,0.4794260021299124
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,7,0.7881199999246746
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,7,0.4918749982607551
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,8,0.7899199990788475
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,8,0.4795760032720864
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,9,0.794514999142848
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,9,0.48556000547250733
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,10,0.7837990051484667
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,10,0.4795179993379861
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,11,0.793984996562358
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,11,0.48090900236275047
cubie,tsit5,performance,adaptive,default,both,32,tol,1e-08,12,0.7887610045145266
cubie,tsit5,performance,adaptive,default,none,32,tol,1e-08,12,0.4815110005438328
