traj,s1,s2,s3
306,5.61336184,5.98271704,5.82371426
307,5.64007568,5.99284267,5.89803553
308,5.66632986,6.00211048,5.9724493
309,5.69211149,6.01050997,6.04692984
310,5.71741629,6.01804256,6.12146616
311,5.74223423,6.0247016,6.19603205
312,5.76655912,6.03048754,6.27060795
313,5.79037905,6.03539562,6.34517002
314,5.81369352,6.0394249,6.41970778
315,5.83649015,6.04257202,6.49419594
316,5.85876465,6.04484034,6.56861258
317,5.88050747,6.04622555,6.64294147
318,5.90171719,6.04673004,6.71716213
319,5.92237997,6.0463562,6.79124308
320,5.94249344,6.0451026,6.86517382
321,5.96205282,6.04297113,6.93894005
322,5.98105526,6.03996944,7.01251364
323,5.99948931,6.03609562,7.0858736
324,6.01735163,6.03135443,7.1590023
325,6.03463793,6.02574873,7.23188114
326,6.05134487,6.01928425,7.304492
327,6.06746626,6.01196671,7.37681246
328,6.08300066,6.00380516,7.44882154
329,6.09793997,5.99479818,7.52050781
330,6.11228418,5.9849577,7.59184837
331,6.12602949,5.97429037,7.66282034
332,6.13916969,5.96280289,7.73341227
333,6.15170479,5.9505024,7.80359936
334,6.1636343,5.93739891,7.87337542
335,6.17495346,5.92350197,7.94271231
336,6.18565702,5.90881729,8.01159573
337,6.19575167,5.89336348,8.08001041
338,6.20523024,5.877141,8.14794254
339,6.21409369,5.86016369,8.21537399
340,6.22233772,5.84244871,8.28227997
341,6.22996759,5.82399559,8.34866714
342,6.23697805,5.80482578,8.41449928
343,6.24337196,5.7849474,8.47977257
344,6.24914837,5.76437569,8.54446793
345,6.2543087,5.74312067,8.60857773
346,6.25885248,5.72119331,8.67208576
347,6.26278067,5.69861555,8.73497391
348,6.26609755,5.67538977,8.79724216
349,6.26880074,5.6515398,8.85886192
350,6.27089596,5.62707233,8.91983891
351,6.27238512,5.60200834,8.98015308
352,6.27326536,5.57635307,9.03979778
353,6.27354527,5.55013275,9.09875584
354,6.27322483,5.5233531,9.1570282
355,6.27230692,5.49603271,9.21459579
356,6.27079582,5.46818399,9.27145672
357,6.26869726,5.43983078,9.32759762
358,6.26601219,5.41097784,9.38301659
359,6.26274729,5.38164997,9.43770123
360,6.25890207,5.35185528,9.49164867
361,6.25448132,5.32161045,9.54484653
362,6.24949932,5.29093981,9.59729862
363,6.24394989,5.25984859,9.64899063
364,6.23784208,5.22835541,9.69992352
365,6.23117924,5.19647408,9.75008965
366,6.22397232,5.16422939,9.79948807
367,6.21622038,5.13162708,9.84811115
368,6.20793343,5.09868622,9.89595985
369,6.19911575,5.0654273,9.94302273
370,6.18977356,5.03185844,9.98931217
371,6.179914,4.99799776,10.0348186
372,6.16954374,4.96386528,10.0795374
373,6.15866756,4.92947006,10.1234703
374,6.14729166,4.89482641,10.1666222
375,6.13542557,4.85995293,10.2089863
376,6.12307453,4.82487059,10.2505598
377,6.11024523,4.78958035,10.2913513
378,6.09694433,4.75410318,10.3313637
379,6.08318186,4.71846104,10.3705864
380,6.0689621,4.68265724,10.4090319
381,6.05429316,4.64670992,10.4466953
382,6.03918695,4.61063766,10.4835825
383,6.0236454,4.57444715,10.5197001
384,6.00767994,4.5381608,10.5550413
385,5.99129534,4.50177956,10.5896206
386,5.97449732,4.4653244,10.6234312
387,5.95729971,4.42880774,10.6564865
388,5.93970585,4.392241,10.6887808
389,5.92172813,4.35563803,10.7203255
390,5.90336943,4.31900787,10.7511282
391,5.88464117,4.28236675,10.7811861
392,5.86554575,4.24571848,10.8105097
393,5.84610224,4.20908642,10.8391008
394,5.82630539,4.17247343,10.8669634
395,5.80617619,4.13589334,10.8941154
396,5.78571177,4.0993557,10.9205484
397,5.76492882,4.06287193,10.9462776
398,5.74382877,4.02645159,10.971303
399,5.72242403,3.99010301,10.9956436
400,5.70071602,3.95383382,11.01929
401,5.67872334,3.91766238,11.0422621
402,5.65644884,3.88159657,11.0645571
403,5.63389397,3.84563184,11.0861883
404,5.61107731,3.8097899,11.1071644
405,5.58799982,3.77407646,11.1274881
406,5.5646739,3.73849869,11.147171
407,5.54110193,3.70306087,11.1662169
408,5.51729631,3.66777635,11.1846352
409,5.49325991,3.63264632,11.2024336
410,5.46900845,3.59768438,11.2196274
411,5.44453907,3.56289005,11.2362127
412,5.41987085,3.52827811,11.2522078
413,5.3949976,3.49384546,11.2676058
414,5.3699379,3.45960546,11.2824326
415,5.34469175,3.42555594,11.2966909
416,5.3192749,3.39171672,11.3103771
417,5.2936883,3.35808015,11.3235197
418,5.26794004,3.32465649,11.336113
419,5.24203777,3.29144788,11.3481693
420,5.21598864,3.25846338,11.3596983
421,5.18979645,3.22569966,11.3707037
422,5.16346884,3.1931622,11.3812037
423,5.13701725,3.16086483,11.3911896
424,5.11044455,3.12880254,11.4006853
425,5.0837574,3.09697938,11.4096937
426,5.05696249,3.06540108,11.4182196
427,5.03006554,3.03406596,11.4262819
428,5.00307131,3.00298285,11.4338741
429,4.97599363,2.9721539,11.4410172
430,4.94882822,2.94157362,11.4477129
431,4.92158413,2.91125345,11.4539671
432,4.8942709,2.88119173,11.4597921
433,4.86689138,2.85138822,11.4651976
434,4.83945084,2.82184696,11.4701891
435,4.81195831,2.79257059,11.4747744
436,4.78441381,2.76355815,11.4789591
437,4.75682688,2.73481512,11.4827499
438,4.72920084,2.70633531,11.4861641
439,4.70154572,2.67813063,11.4892015
440,4.67385483,2.65018868,11.4918661
441,4.64614725,2.62251782,11.4941778
442,4.61841583,2.59511662,11.4961281
443,4.59067345,2.56798601,11.4977407
444,4.56292105,2.5411272,11.4990053
445,4.53516388,2.51453733,11.499939
446,4.50740957,2.48822236,11.5005569
447,4.4796524,2.46216917,11.5008516
448,4.4519062,2.43638945,11.5008383
449,4.42417622,2.41087961,11.5005226
450,4.39645767,2.38563871,11.4999056
451,4.36876583,2.36067104,11.4990005
452,4.34109259,2.33596373,11.4978104
453,4.31344604,2.31152225,11.4963427
454,4.28583574,2.28735447,11.4946041
455,4.25826025,2.26344633,11.4926033
456,4.23072243,2.23980236,11.4903421
457,4.20322609,2.21642089,11.4878263
458,4.1757803,2.19330382,11.4850683
459,4.14837742,2.17044234,11.4820671
460,4.12102365,2.14783621,11.4788322
461,4.0937314,2.12549305,11.4753704
462,4.06649017,2.10339904,11.4716806
463,4.03931808,2.08156633,11.4677763
464,4.01220655,2.05998564,11.4636583
465,3.98515725,2.03864574,11.4593382
466,3.95817733,2.01756144,11.4548092
467,3.93127131,1.99672008,11.4500904
468,3.90443778,1.97612596,11.4451761
469,3.87768316,1.95577908,11.4400721
470,3.8510046,1.93566692,11.4347897
471,3.82440329,1.91579103,11.4293356
472,3.79788709,1.89615536,11.4237051
473,3.7714541,1.87675154,11.4179087
474,3.7451086,1.85758185,11.4119482
475,3.71885729,1.83864403,11.405838
476,3.6926899,1.81993079,11.3995638
477,3.66661477,1.80144322,11.3931446
478,3.6406374,1.78318119,11.3865814
479,3.61475253,1.76513815,11.379879
480,3.58896494,1.74731445,11.3730354
481,3.5632782,1.72970819,11.3660593
482,3.53768373,1.71230853,11.3589582
483,3.51220083,1.6951288,11.3517332
484,3.48681641,1.67815506,11.3443861
485,3.46153355,1.66138732,11.3369169
486,3.43636012,1.64482641,11.32934
487,3.4112885,1.62846458,11.3216486
