traj,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20
619,-5.13171434,7.60749102,1.22484052,2.17960405,7.78922367,8.29024792,4.16426516,9.55655479,1.83064508,-5.0125432,12.6122732,-5.50178528,6.97957373,-7.69741726,2.60879374,1.11549556,-2.07463694,8.73786831,-4.09784555,-6.25085211
620,-5.17484522,7.59019709,1.26951122,2.18600464,7.80672216,8.2147398,4.09074068,9.57853699,1.89716554,-5.00192022,12.715642,-5.34028292,7.05241776,-7.67809629,2.64425778,1.10645461,-2.09245157,8.74254322,-4.0949769,-6.23005915
621,-5.21754551,7.57290459,1.3141135,2.19253302,7.82398653,8.13756466,4.01586771,9.59969139,1.96739316,-4.98886728,12.8180075,-5.1786027,7.12239361,-7.65958929,2.67989826,1.09753692,-2.11023116,8.74682426,-4.09161043,-6.20969582
622,-5.25973272,7.55550718,1.3585484,2.19911909,7.84089994,8.0591898,3.94005489,9.61977386,2.04080653,-4.97345161,12.9191914,-5.01708603,7.18923473,-7.64205885,2.71567106,1.08821714,-2.12864971,8.75046825,-4.08726168,-6.19032431
623,-5.30172777,7.53779078,1.40328646,2.2058146,7.85753822,7.97755623,3.86141419,9.63931561,2.12021279,-4.95513678,13.0202141,-4.85515308,7.25333738,-7.62533855,2.75179625,1.07882762,-2.14732718,8.75390625,-4.08243227,-6.17116642
624,-5.34375525,7.5192585,1.44835925,2.21244717,7.87363958,7.89690399,3.78393984,9.65711594,2.20033097,-4.93450308,13.1185503,-4.69488239,7.31496191,-7.60921717,2.78806567,1.0698446,-2.16563344,8.75798416,-4.07829762,-6.15101004
625,-5.38542986,7.50058508,1.49353874,2.219203,7.88946438,7.8126936,3.70333672,9.67420387,2.28707719,-4.9106493,13.2169447,-4.53455734,7.3737464,-7.5938735,2.82466197,1.06068647,-2.18438601,8.76145554,-4.07327414,-6.13171101
626,-5.42652845,7.48187971,1.53830659,2.22599602,7.90489292,7.72965288,3.62409282,9.6894474,2.37423444,-4.88443613,13.3125868,-4.37625694,7.43021059,-7.57889462,2.86139178,1.05174768,-2.20305753,8.76461315,-4.06787968,-6.11293554
627,-5.46767807,7.46253872,1.58366621,2.23287106,7.91997671,7.64309359,3.54170156,9.70362473,2.46786022,-4.85503721,13.40804,-4.21777773,7.48357773,-7.56541443,2.89812207,1.04248631,-2.22210479,8.767766,-4.06223965,-6.09395599
628,-5.50858545,7.4427495,1.62919915,2.23979878,7.934659,7.55515385,3.45830083,9.71634865,2.56548834,-4.82248592,13.502099,-4.06083727,7.53472137,-7.55226088,2.93525958,1.03327072,-2.24139714,8.77088451,-4.05627584,-6.07512283
629,-5.5493288,7.42251205,1.67486382,2.2467463,7.94889688,7.46635818,3.37427759,9.72733307,2.66646814,-4.78694963,13.5945206,-3.90538168,7.58332872,-7.53995037,2.97239017,1.0243597,-2.26034784,8.77415466,-4.05056858,-6.05590057
630,-5.58940744,7.40237808,1.72012687,2.25380158,7.96284151,7.37723875,3.29024005,9.73653698,2.76977968,-4.74856091,13.6848783,-3.75195098,7.62982845,-7.52801704,3.00972128,1.01521814,-2.27982235,8.77662277,-4.04374027,-6.03799582
631,-5.62957668,7.38136292,1.76596057,2.26085329,7.97626352,7.28563643,3.20408058,9.74406147,2.87887645,-4.70647717,13.7743778,-3.59989285,7.67406082,-7.51684666,3.04728913,1.00615585,-2.29932094,8.77949905,-4.03720236,-6.01937866
632,-5.66939211,7.36031294,1.81175005,2.26805615,7.98939323,7.19182348,3.11607456,9.74970245,2.99307299,-4.66085052,13.8626699,-3.44949245,7.7157917,-7.50664949,3.08476734,0.997027278,-2.31893206,8.7818718,-4.03006983,-6.00139093
633,-5.7089119,7.338799,1.85756826,2.27527928,8.00208569,7.09777975,3.02812886,9.75329304,3.10980082,-4.61206818,13.9487801,-3.3016777,7.75571775,-7.49665403,3.12247539,0.987926126,-2.33872533,8.78414059,-4.02267313,-5.98361349
634,-5.74830914,7.31678152,1.90372908,2.28258538,8.01435566,7.00064564,2.93751144,9.75477886,3.23335743,-4.55896521,14.0340471,-3.15580893,7.79353571,-7.48741198,3.16038609,0.978909314,-2.35853577,8.78649998,-4.01520729,-5.96560192
635,-5.78747511,7.29437113,1.94991076,2.28996515,8.0262289,6.90361452,2.84732842,9.75405407,3.35869932,-4.5028944,14.1166925,-3.01291251,7.82980394,-7.47848797,3.19827127,0.969828904,-2.37854576,8.78862667,-4.00737476,-5.94796324
636,-5.82639456,7.27162361,1.99616826,2.29742098,8.03763485,6.80396461,2.75492287,9.75087929,3.49024057,-4.44245577,14.1981611,-2.87229371,7.86418962,-7.47027016,3.23627687,0.960613251,-2.39880085,8.79054928,-3.99916029,-5.93055964
637,-5.86492395,7.24860573,2.04238868,2.30495071,8.04870224,6.7038064,2.66227221,9.74520397,3.6246624,-4.37854528,14.2774467,-2.73457861,7.89664268,-7.46265411,3.27425337,0.95145458,-2.41902566,8.79225254,-3.99070191,-5.91338634
638,-5.90313578,7.22524595,2.08854365,2.31252646,8.05930996,6.6028204,2.56919265,9.7370739,3.76274586,-4.31076574,14.3545218,-2.60036612,7.92813063,-7.45483255,3.31254315,0.942439437,-2.43933177,8.79380989,-3.98197103,-5.8965416
639,-5.94136667,7.20118237,2.13511348,2.3201859,8.06947708,6.50034952,2.47505379,9.72627735,3.90513158,-4.23896885,14.4295235,-2.46927261,7.95828533,-7.44744921,3.35087967,0.933454037,-2.4596684,8.79554558,-3.97329497,-5.87931824
640,-5.9790678,7.17725849,2.18132043,2.32798409,8.07929134,6.39589071,2.37932014,9.7124815,4.05254316,-4.16281796,14.5026579,-2.34123135,7.98669004,-7.44089222,3.38903785,0.923998296,-2.48053145,8.79632473,-3.96353292,-5.86344385
641,-6.01658916,7.15282106,2.22764444,2.33582401,8.08863926,6.29064226,2.28322721,9.69591713,4.20371771,-4.08243418,14.5733595,-2.21722102,8.01465034,-7.43384933,3.42758822,0.915051281,-2.50101709,8.79734898,-3.95403886,-5.84721804
642,-6.05383968,7.12784433,2.2742312,2.34375024,8.09750175,6.18225431,2.1845026,9.67587185,4.36195469,-3.9966929,14.6422834,-2.09704161,8.04125023,-7.42749405,3.46607494,0.905662596,-2.52199173,8.79812336,-3.94406223,-5.83129358
643,-6.09130716,7.1019659,2.32132077,2.35174108,8.10591221,6.07442141,2.08677721,9.65314102,4.52148008,-3.90752125,14.7079601,-1.98096228,8.06783104,-7.42048788,3.50486064,0.896984041,-2.54236197,8.79973602,-3.93489861,-5.81407976
644,-6.12779045,7.07672167,2.36753368,2.35988927,8.11397171,5.96325684,1.9862206,9.62637901,4.68822289,-3.81261849,14.7717791,-1.8688643,8.0928793,-7.41443014,3.54342842,0.887126029,-2.56402206,8.79927063,-3.92347121,-5.79995012
645,-6.16439295,7.05042315,2.4142983,2.36803937,8.12151241,5.85253859,1.88653302,9.59672165,4.8566699,-3.71396947,14.832262,-1.76140285,8.11816597,-7.40761232,3.58236527,0.878056288,-2.58492279,8.79998207,-3.91321349,-5.78405762
646,-6.20068407,7.02416849,2.46084356,2.37637496,8.12866211,5.73937893,1.78502643,9.56308174,5.03067255,-3.61004281,14.8900805,-1.65821779,8.14278603,-7.40130234,3.62112498,0.868455708,-2.60640931,8.7996273,-3.90183425,-5.76960516
647,-6.23671722,6.99715805,2.50759792,2.38471985,8.13531113,5.62566233,1.68342388,9.52594948,5.20787525,-3.50157118,14.9447165,-1.55999386,8.16740608,-7.3945241,3.66013193,0.858984649,-2.62784672,8.79964352,-3.89066625,-5.75464916
648,-6.27262783,6.96955109,2.55451322,2.39313459,8.14149952,5.51155519,1.58197165,9.48538113,5.3877759,-3.38872457,14.9959126,-1.46671414,8.19243622,-7.38710785,3.69934607,0.849790156,-2.64904809,8.7998867,-3.87971306,-5.73932886
649,-6.30813932,6.94201136,2.6011219,2.4016993,8.14730358,5.39567614,1.4793911,9.44065857,5.57234764,-3.27051282,15.0438747,-1.37847161,8.21755886,-7.37955952,3.73856473,0.840346754,-2.67050934,8.79926968,-3.86794543,-5.72520924
650,-6.34361124,6.91352654,2.64828467,2.41034889,8.15249538,5.27682114,1.37463701,9.39111233,5.76371527,-3.14584613,15.0883493,-1.29607427,8.24327946,-7.37167978,3.77793527,0.830805659,-2.69209599,8.79908466,-3.856354,-5.71037102
651,-6.37849617,6.88524532,2.69476843,2.41907644,8.15735626,5.15862751,1.27102709,9.33813477,5.95576525,-3.01737523,15.1288834,-1.2186197,8.26950169,-7.36309958,3.81747079,0.821078658,-2.71396542,8.79790783,-3.84386039,-5.69706583
652,-6.41325808,6.85649586,2.74147964,2.42796206,8.16179752,5.03873491,1.1665163,9.28065777,6.15193605,-2.8835144,15.1654243,-1.14680099,8.29624081,-7.3543601,3.85693216,0.81126821,-2.73585272,8.79659081,-3.83119535,-5.68381691
653,-6.44814491,6.82649517,2.78882861,2.4368546,8.16549969,4.91653109,1.0604825,9.218009,6.35440969,-2.74270248,15.1977339,-1.08151841,8.3248291,-7.34427977,3.8968854,0.801888287,-2.7572875,8.79635143,-3.81948233,-5.66886854
654,-6.48245859,6.79670095,2.83564496,2.44590068,8.16895771,4.7952013,0.956025064,9.1520834,6.55602169,-2.59901047,15.2254553,-1.0212419,8.35394478,-7.33386993,3.936692,0.792082608,-2.77920151,8.79507542,-3.80673027,-5.65553045
655,-6.51636505,6.76674652,2.88221407,2.45505214,8.17196369,4.67230511,0.850815892,9.08118153,6.76153803,-2.44952559,15.2486296,-0.967016101,8.38401413,-7.32303762,3.97662115,0.781740189,-2.80167222,8.79306984,-3.7931478,-5.64323425
656,-6.55013227,6.73640633,2.92875957,2.46431828,8.17446423,4.54794884,0.745080531,9.00531006,6.97093153,-2.2941153,15.2667418,-0.919414759,8.41607475,-7.31089878,4.0167532,0.771463335,-2.82404232,8.79071617,-3.7793777,-5.63137674
657,-6.58362865,6.70535994,2.97557068,2.47366643,8.17644024,4.42220259,0.638904631,8.92433834,7.18384552,-2.13281655,15.2796612,-0.878354073,8.44972038,-7.29770279,4.05715466,0.761236787,-2.8463378,8.78878117,-3.76581788,-5.61883545
658,-6.61696005,6.6738925,3.02231312,2.48311925,8.1780014,4.29678917,0.533898711,8.83942986,7.39689636,-1.96770227,15.2871714,-0.843075275,8.48501587,-7.2836194,4.09756851,0.750945628,-2.8686316,8.78670025,-3.75214672,-5.60648203
659,-6.64994144,6.64227819,3.06883025,2.49270296,8.17910385,4.16990662,0.428519279,8.74920177,7.61311436,-1.79667437,15.2889566,-0.814450681,8.52227974,-7.26836014,4.13821554,0.740311921,-2.89125776,8.78389263,-3.73777771,-5.59514856
660,-6.68288279,6.60981417,3.11566401,2.50238109,8.17964363,4.0419445,0.323163122,8.65380287,7.83191729,-1.62001812,15.2845831,-0.792775273,8.56200409,-7.25157738,4.17908144,0.729810715,-2.91365027,8.78146935,-3.72378492,-5.58313704
661,-6.71544647,6.57704926,3.16236949,2.51216674,8.17968369,3.91248965,0.217504963,8.55272102,8.05364132,-1.43731725,15.273777,-0.778286815,8.6039238,-7.23358488,4.22008228,0.71900928,-2.93627,8.77861404,-3.7093513,-5.57168865
662,-6.74771261,6.54410505,3.20878816,2.52205682,8.1794157,3.78442812,0.114145562,8.44845963,8.27297401,-1.25211823,15.2570047,-0.769009173,8.64771748,-7.21430588,4.26119518,0.708203018,-2.95881295,8.77551842,-3.69473982,-5.56062317
