framework,algorithm,phase,mode,tier,transfers,n,setting_kind,setting,samples,min_ms,p05_ms,median_ms,p95_ms,max_ms
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,0.001,20,24.4881,24.491615,24.6441,24.926265,25.0149
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,0.0001,20,41.0038,41.27113,41.8934,44.60957500000002,73.0749
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,0.0001,20,37.0104,37.054765,37.31965,37.632515,37.6404
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-5,20,55.2166,55.373065000000004,56.202600000000004,56.651869999999995,57.0408
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-5,20,51.0255,51.02626,51.1994,51.331365,51.3364
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-6,20,77.661,77.666795,78.39214999999999,80.96818999999999,86.5654
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-6,20,73.1172,73.151305,73.23745,73.38196,73.4249
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0000000000000001e-7,10,121.0919,121.09882999999999,121.50135,122.67385999999999,122.9534
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0000000000000001e-7,10,116.3448,116.35605000000001,116.5584,116.736905,116.7554
julia,tsit5,work_precision,adaptive,julia,both,131072,tol,1.0e-8,10,566.9874,570.214125,576.0919,581.01674,582.0044
julia,tsit5,work_precision,adaptive,julia,none,131072,tol,1.0e-8,10,559.4037,561.8277149999999,566.9612500000001,574.99739,576.4562
julia,vern7,performance,fixed,fixed,both,8,dt,0.0009765625,20,4.236,4.37679,4.563,49.426075,49.7315
julia,vern7,performance,fixed,fixed,none,8,dt,0.0009765625,20,4.2165,4.277015,4.38405,4.71731,4.7574
julia,vern7,performance,adaptive,julia,both,8,tol,1.0e-8,20,13.7599,13.781085,15.2721,64.847435,69.6418
julia,vern7,performance,adaptive,julia,none,8,tol,1.0e-8,20,13.5985,13.60914,13.69195,13.891835,14.0141
julia,vern7,performance,fixed,fixed,both,32,dt,0.0009765625,20,3.9594,3.992555,4.2692499999999995,4.43649,4.5256
julia,vern7,performance,fixed,fixed,none,32,dt,0.0009765625,20,3.9026,3.928345,4.2374,4.40153,4.5066
julia,vern7,performance,adaptive,julia,both,32,tol,1.0e-8,20,14.0038,14.013110000000001,14.081900000000001,14.274025,14.3315
julia,vern7,performance,adaptive,julia,none,32,tol,1.0e-8,20,13.891,13.904015000000001,13.986799999999999,14.147590000000001,14.2025
julia,vern7,performance,fixed,fixed,both,128,dt,0.0009765625,20,4.6493,4.651675,4.7562999999999995,4.8771450000000005,5.0433
julia,vern7,performance,fixed,fixed,none,128,dt,0.0009765625,20,4.5804,4.58059,4.6598500000000005,4.812340000000001,5.005
julia,vern7,performance,adaptive,julia,both,128,tol,1.0e-8,20,13.8919,13.894845,14.001999999999999,14.076179999999999,14.0872
julia,vern7,performance,adaptive,julia,none,128,tol,1.0e-8,20,13.8566,13.859545,13.9658,14.071055000000001,14.207
julia,vern7,performance,fixed,fixed,both,512,dt,0.0009765625,20,4.046,4.056165,4.3603000000000005,4.46298,4.5785
julia,vern7,performance,fixed,fixed,none,512,dt,0.0009765625,20,3.88,3.93168,4.2262,4.287215,4.3559
julia,vern7,performance,adaptive,julia,both,512,tol,1.0e-8,20,14.2606,14.26136,14.3635,14.607815,14.6613
julia,vern7,performance,adaptive,julia,none,512,tol,1.0e-8,20,14.1551,14.17277,14.26665,14.391555,14.3983
julia,vern7,performance,fixed,fixed,both,2048,dt,0.0009765625,20,5.2866,5.33505,5.4685,5.876685000000003,9.8987
julia,vern7,performance,fixed,fixed,none,2048,dt,0.0009765625,20,5.1847,5.20921,5.2797,5.36667,5.387
julia,vern7,performance,adaptive,julia,both,2048,tol,1.0e-8,20,14.8921,14.93656,15.1146,15.375350000000001,16.4631
julia,vern7,performance,adaptive,julia,none,2048,tol,1.0e-8,20,14.73,14.75622,14.85075,14.920485000000001,14.9639
julia,vern7,performance,fixed,fixed,both,8192,dt,0.0009765625,20,21.9102,21.94839,22.4117,22.601895,22.7576
julia,vern7,performance,fixed,fixed,none,8192,dt,0.0009765625,20,21.5312,21.57243,21.922,22.134259999999998,22.4128
julia,vern7,performance,adaptive,julia,both,8192,tol,1.0e-8,20,49.8957,49.903014999999996,51.79089999999999,52.830349999999996,52.8769
julia,vern7,performance,adaptive,julia,none,8192,tol,1.0e-8,20,49.4602,49.482049999999994,51.33495,52.425775,52.5203
julia,vern7,performance,fixed,fixed,both,32768,dt,0.0009765625,10,179.4743,179.47943,179.5534,180.06984,180.1647
julia,vern7,performance,fixed,fixed,none,32768,dt,0.0009765625,10,178.2701,178.27649000000002,178.35255,178.561295,178.5662
julia,vern7,performance,adaptive,julia,both,32768,tol,1.0e-8,10,197.045,197.122535,197.37394999999998,197.675265,197.7726
julia,vern7,performance,adaptive,julia,none,32768,tol,1.0e-8,10,195.6025,195.60763,195.92825,196.224235,196.2754
julia,vern7,performance,fixed,fixed,both,131072,dt,0.0009765625,10,714.2401,714.33091,715.2482,716.6466049999999,717.1655
julia,vern7,performance,fixed,fixed,none,131072,dt,0.0009765625,10,709.8206,709.832345,710.06235,710.7707800000001,710.8156
julia,vern7,performance,adaptive,julia,both,131072,tol,1.0e-8,10,762.8368,763.1504050000001,765.8334,769.13319,771.0987
julia,vern7,performance,adaptive,julia,none,131072,tol,1.0e-8,10,755.0149,755.210605,759.9037000000001,762.0480600000001,762.6444
