package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,median_ms,p05_ms,p95_ms,max_ms,samples,errored_pct,error,build_s,recorded_utc
julia,windows_RTX-4070-SUPER,wp,ring_modulator,tsit5,adaptive,tol,1e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,tsit5,adaptive,tol,1e-08,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,6.25e-05,131072,15,default,d2h,14720.8857,14741.1189,14722.90902,14753.51046,14754.8873,3,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,3.125e-05,131072,15,default,d2h,29412.5065,29421.3534,29413.39119,29435.11287,29436.6417,3,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,1.5625e-05,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,7.8125e-06,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,3.90625e-06,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,1.953125e-06,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,9.765625e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,4.8828125e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,2.44140625e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,kvaerno3,fixed,dt,1.220703125e-07,131072,15,default,d2h,nan,nan,nan,nan,nan,0,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,wp,ring_modulator,rosenbrock23_sciml,fixed,dt,6.25e-05,131072,15,default,d2h,327.0016,328.65375,327.059965,337.994395,344.545,10,nan,nan,nan,2026-09-08T05:44:47Z
