package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,samples_ms,errored_pct,error,build_s,recorded_utc
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,16,default,none,11.3988,11.590033;11.426354;11.416469;11.411209;11.4006;11.427615;11.436761;11.417865;11.435549;11.428904;11.404661;11.409245;11.419601;11.423027;11.406563;11.410326;11.429522;11.409461;11.402874;11.398825;11.441033,nan,nan,3.164,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,32,default,both,51.5269,53.838435;61.215669;55.138857;51.585079;59.277848;63.118303;54.508002;62.331247;62.000592;51.579605;52.129536;67.680027;51.614709;51.52695;51.680355;51.701787;51.619876;51.597988;51.655511;51.591269;58.796313,nan,nan,3.456,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,32,default,none,49.8623,49.918701;60.269286;61.906536;59.603228;49.862297;55.861525;59.478216;57.199261;59.482059;50.000296;49.967454;51.692164;60.597557;62.029483;59.494701;58.945975;60.718214;58.869474;59.481401;56.161598;54.42563,nan,nan,3.456,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,64,default,both,179.534,179.619578;179.831168;179.736146;179.927604;180.086683;179.747457;180.116071;179.689143;180.026204;180.124041;179.892564;179.917172;179.731375;180.053229;179.870367;179.755871;179.925024;179.705767;179.700675;179.533804;179.665471,nan,nan,4.021,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,64,default,none,175.932,176.808917;176.649835;176.471834;175.931559;176.371266;176.340104;176.348951;176.758646;176.403872;176.594175;178.178877;176.415284;176.41176;176.206513;176.667939;176.322969;176.311537;176.305183;176.445948;176.499503;176.313202,nan,nan,4.021,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,128,default,both,621.105,621.747757;621.964226;621.567757;621.734487;621.794502;621.782689;621.5175;621.539176;621.476957;621.104703;621.643319;621.230199;621.270497;621.476417;622.303046;621.593974;621.569219;621.849609;622.086247;621.221572;621.420197,nan,nan,5.95,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,cash-karp-54,adaptive,tol,1e-05,131072,128,default,none,614.037,615.229884;614.260711;615.030958;614.406987;614.740771;614.650314;614.529932;614.603665;615.246497;614.484512;614.377228;614.510066;614.574411;614.553996;614.036758;614.7164;614.23152;615.073015;614.907646;614.857116;614.255349,nan,nan,5.95,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,4,default,both,6.54908,6.558869;6.566044;6.557834;6.555;6.553206;6.641955;6.5566;9.973936;6.55414;10.464721;6.554976;6.553991;6.54908;6.550372;6.552839;6.550096;6.550475;6.553021;6.551787;6.554613;6.551384,nan,nan,3.024,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,4,default,none,6.31264,6.503452;6.318301;6.325134;6.33081;6.314566;6.319154;6.320008;6.322595;6.320948;9.724655;6.312641;6.328419;6.324686;6.322072;8.457066;6.359427;6.324432;6.321184;6.324394;6.327727;6.314172,nan,nan,3.024,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,8,default,both,12.0098,15.2964;12.014958;12.0098;14.336372;12.024128;12.015114;12.031967;12.0227;12.016815;12.044683;12.022959;14.224484;12.029275;12.046997;12.017295;12.023411;14.848537;12.031332;12.035604;16.795325;12.017881,nan,nan,3.065,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,8,default,none,11.556,11.696665;11.56198;11.57684;15.756001;11.563333;11.56945;14.694093;11.556979;11.564574;15.642751;11.56377;11.569155;14.680001;11.566321;11.569209;11.601928;11.586435;11.556026;11.577497;15.620729;11.564699,nan,nan,3.065,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,16,default,both,22.7394,22.756955;22.758918;22.805825;22.755481;22.750335;22.751054;22.758996;22.776194;22.759508;22.739364;22.750145;22.748364;22.751055;22.750395;22.786759;22.76048;22.763262;22.764437;22.765428;22.753326;22.754074,nan,nan,3.022,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,states,lorenz96,classical-rk4,fixed,dt,0.0009765625,131072,16,default,none,21.8721,22.021895;22.014827;22.008734;22.013461;21.993554;22.018763;21.908482;21.92924;21.882189;21.875157;21.887915;21.93759;21.891396;21.872116;21.886346;21.881296;21.883438;21.881822;21.884033;21.890007;21.875479,nan,nan,3.022,2026-09-08T10:43:51Z
